0,1,2,3,4,5,6,7
1.8671651,3.0442293,0.7574847,1.1725352,10.037116,0.42962328,14.724235,-1.1328684
-0.7189215,-3.852847,1.0352385,-5.2209034,9.622044,3.9140947,4.1155577,1.0104634
-0.29763842,2.2477832,-2.7877703,6.5437126,-1.2590591,0.8411847,-1.8527476,-4.088411
-1.2689892,-3.7259462,-0.5439775,0.8426283,-4.4668283,-5.301169,-8.537015,-10.275932
-2.973142,-2.05755,-3.4604936,0.9996555,-4.951389,-6.802318,-9.556843,-9.185012
0.6747257,5.168802,6.0445395,-0.9517778,4.7909384,-1.5307305,0.32031476,0.77077705
-1.365368,-1.2504143,6.295756,-1.2652853,4.296515,9.911602,9.02917,-0.4864638
3.1152592,2.4824867,4.7222013,-1.5805378,6.8046007,-2.9011056,13.060574,0.29893452
-8.456077,-6.8572974,5.991369,-0.023754144,-5.3469853,2.1952372,-0.6817566,-3.6686416
7.6031046,9.00016,0.8683538,-6.7185426,5.633849,3.6664326,11.291388,1.3464776
5.835805,9.403783,3.808802,0.20356613,6.1583786,12.703463,11.9363785,3.7057526
8.391389,7.3902564,2.5709543,-5.6491833,4.3113437,4.877751,12.472757,6.166947
9.120464,4.919127,0.23071705,-4.258663,3.9757876,3.3076425,11.786102,2.4584842
7.052497,6.5011353,4.441193,-4.743031,4.800865,3.4691885,13.354865,1.2387289
6.9306455,6.6398783,0.38872746,-3.4187717,6.834952,3.6296377,13.158202,-1.0085498
1.063061,-1.1657676,-0.29724842,2.134632,-0.83688086,-1.350345,19.851364,-0.58994055
1.2186066,3.6278756,-0.16762446,2.2786145,0.13285072,-0.61919856,5.487622,-4.931046
0.7129179,5.4812784,-1.2077609,-2.951611,2.356414,1.3977368,-2.112361,0.43635088
-2.999536,-6.3974824,0.45546436,-4.938571,7.1908236,-0.044034053,3.9856462,-5.4538956
7.168129,1.3320006,1.9834331,0.28164625,6.925535,4.8294687,-2.2039,-3.626694
-7.5784264,-0.5006865,0.07107747,-7.698926,0.013278419,1.4696869,0.6828935,0.09175421
5.7164326,-0.42899954,0.02118685,-1.1302006,-3.9463053,2.5367785,4.6055837,-3.3205864
3.0320559,2.659162,5.735795,-2.8690403,-1.0381088,17.840971,0.8010237,2.3702168
-2.6213758,-3.9279072,4.079478,-1.7281605,-5.9460096,-2.629756,7.373223,3.7231574
-4.579014,-0.8113419,0.66331357,-8.377085,3.3324203,-0.756624,3.4534898,-8.911427
-1.32492,0.29153213,3.2738712,-2.2420795,-0.6470901,5.3083243,-0.5394078,-7.8039637
-2.7255661,-2.3764338,1.2074178,-1.1823136,-1.1250229,5.2326465,3.1031563,-5.857034
-4.0434484,2.2969487,4.437257,-2.4401119,-0.37603715,3.785824,-1.6523393,-6.633854
8.698731,1.2564522,-2.2405038,-1.9623384,2.1903682,11.248126,-4.626912,2.7875717
12.361245,-1.2083789,0.5449992,-4.0133634,0.2795089,0.88415915,3.7744925,1.5693343
0.8038166,5.2594285,-0.5030148,-7.415322,7.280712,-1.39305,0.6114148,-3.3072355
8.207931,7.4449186,3.4987216,-1.2531546,4.085282,1.3544967,9.611053,4.949953
0.85097164,0.66128004,0.35695148,-2.4049435,5.5585346,12.396285,6.7435503,6.3651347
11.015662,8.787911,2.9144773,-2.0509195,8.365244,9.927007,5.51544,3.3971953
-0.41519696,3.1445053,-2.9009914,-0.1611946,1.340575,2.8179564,1.8398119,1.0816938
-6.416701,-2.278723,-1.528368,-1.7129365,2.7298093,-3.5013444,6.9630938,-5.2074003
3.337319,12.358983,2.9674058,-0.64384216,4.4298773,9.772198,0.3533669,2.840791
0.5055651,0.8292304,0.25387177,-7.9286637,-1.8706948,-1.4617935,-10.013601,0.22489198
-0.95647025,2.5392826,3.143036,-2.179007,5.193941,0.15409227,-2.3851871,2.0207205
