0,1,2,3,4,5,6,7,8,9,10
-1.9029567,4.4959426,6.413455,3.2497597,-2.356397,6.1760044,7.6799164,0.6325068,-4.9665785,0.6408717,-1.9035959
-1.8287199,-7.007742,6.753432,-0.35891718,-0.35906723,-5.475439,-0.77234083,0.6326022,2.634912,0.938986,-3.3068218
-4.0322995,3.2517226,8.326289,-2.3522692,1.171463,3.0147245,4.4958944,-0.4472846,-0.29700604,9.366423,-9.8723955
-1.4579087,2.3567522,5.727764,-1.0298736,7.58639,1.6461697,0.60209316,-0.111248255,-0.15017444,2.4690557,-11.216046
-4.8724713,6.9667225,10.664785,-2.307798,1.1487665,4.5198197,4.104309,-1.1024363,-2.0511642,5.0497317,-7.007327
-2.4112706,8.449811,6.638667,-4.6585155,-0.88729477,4.91122,8.539487,-3.6522923,-0.16926555,2.0965466,-3.3986726
-7.730729,7.4347177,13.87572,-0.27216926,2.6482248,2.1074464,2.9177685,-0.21166268,-0.5752107,2.455579,-8.157213
-5.2917547,6.657749,11.904619,-4.645385,1.1410501,8.604687,5.3700047,-2.8354058,1.177767,4.1154623,-6.9304132
-5.771263,-3.2264304,6.0100327,-0.24633463,0.5951556,0.9419471,6.331267,-3.4822395,0.5254095,1.7122875,-0.7540421
-1.5753872,6.623464,-2.5302398,1.1397212,0.20182699,1.8863068,7.5135946,-1.2017443,-0.25837034,-1.2581302,4.924109
-4.789127,6.208051,9.428454,-5.460453,-0.5496446,4.227225,7.1094937,-0.7661128,0.98790586,2.8491194,-7.2500257
-3.2452753,6.154735,10.019779,-2.9438894,0.5329536,8.359088,6.6154313,1.8621068,0.06075175,3.2431333,-6.2852626
-8.428864,4.9919696,10.504757,-2.9373775,1.4270916,6.5059404,6.2683125,1.2367417,0.07234641,2.508364,-7.420953
-5.151847,3.0777621,16.413162,-3.9739797,1.3234326,2.921633,2.7350132,-0.30143434,0.45629233,3.7972343,-6.978836
-4.8753476,5.7588897,0.01932188,-1.669822,1.538525,-0.27745178,2.0121493,0.1924785,-0.6649263,6.3850775,-6.275609
-4.8262935,1.0871307,13.926833,-1.7334732,3.2522473,2.473925,1.488142,-0.30774912,-2.9213624,1.74408,-4.3909545
-4.382503,4.4070544,4.9714103,0.09782775,0.42202902,4.7405105,9.609054,-0.033344883,-0.6836952,3.2097824,0.9529277
1.1866815,4.2943635,3.1600456,3.720736,-0.48186687,3.503085,4.951637,0.38689995,1.1845969,-1.7437712,2.79649
-2.6386347,3.1999035,7.234331,-8.80725,2.4415183,3.7141488,4.407462,-0.5686359,-0.65632683,2.7725368,-4.200181
-3.3527813,4.983678,8.626566,-4.664743,2.1167176,7.7091627,4.4359975,-1.3761853,-1.6568351,1.9454414,0.20157075
-4.7797537,3.1389031,8.8674135,-6.713311,-1.097778,4.2759314,3.3517127,0.6671775,-0.912976,1.2621217,-3.974728
-3.0250587,3.6961453,8.613034,-4.0087132,-2.3195753,6.9093328,5.065959,-2.3379402,-0.4869018,3.2582939,-1.7192967
-4.04545,1.6812733,10.05582,-5.889601,2.0368896,5.8715854,5.2437873,-1.3909495,1.200242,2.6966174,-2.93343
-4.5972304,4.3549204,7.9357724,-4.4177775,0.5047136,7.721578,3.7308936,-3.1897697,0.5176943,-0.3956442,-3.2879462
-1.2759397,4.36907,7.114907,-6.326469,1.6551439,9.275902,3.8482084,-1.4493334,-0.7262117,1.1594492,-2.9065328
3.9494653,0.74549955,4.483216,0.26434025,0.87925,-2.7780206,-3.529045,0.5829023,0.24568945,-3.1610897,-0.22490074
3.832763,1.1449856,1.2683554,-0.22636619,-0.12121537,-0.9166633,-2.8809829,-1.9374485,2.302668,-0.820275,-1.4627358
-2.698411,2.862665,5.0341334,-1.0255721,3.9505363,2.8033762,4.849447,-0.8399498,0.004799887,-0.15638188,-9.893997
-0.65159494,8.214072,4.4695415,-3.7820616,4.122354,2.3361506,5.5918636,-2.9698145,0.25157425,0.7004281,-2.082612
-2.8856778,6.836125,2.701489,-2.2701201,1.6816341,2.1432807,5.766414,-3.7991228,-2.423493,0.88892436,1.7972903
-1.0054448,5.9713354,7.4648204,5.257867,-1.9331142,0.17150259,-0.24218772,0.5972923,0.33287892,-1.1362818,-2.430912
-2.1091523,-1.3598439,-1.1641718,-0.24695256,3.1061053,-4.91048,-2.4864807,-1.4750003,-1.9600595,1.3404508,0.42937195
