0,1,2,3,4
-9.458359,1.6600461,2.9910357,8.022532,-17.822855
-11.927281,6.427172,-2.5896096,11.924904,-19.580288
-10.0333605,2.6613746,0.04085476,12.597146,-17.437338
-14.852011,2.5695348,-0.1271732,14.515803,-10.661378
-11.054086,1.2190291,4.2125535,-0.7506822,-2.2231548
-5.4481335,-8.12366,0.4020507,13.546034,3.5527382
-4.035067,1.9789364,-0.4214342,12.974369,5.2723794
-4.852205,-8.857241,3.2592196,11.594815,4.0349317
1.9217677,-8.069306,-15.491223,-3.3693929,-3.5453143
-7.137273,-1.9201322,6.8690042,16.79165,-13.139474
-16.634941,-2.7904205,-9.579197,11.359172,-16.808302
-17.630207,3.7292585,-5.0138464,14.057184,-15.290687
-12.815755,-0.10912468,3.8621404,2.106339,-17.073458
-5.4234095,1.7482672,-11.429373,-6.438807,-11.675592
-0.44793734,0.94273275,-1.302255,2.557289,-16.224512
5.2226214,-6.5313063,1.2704558,10.26135,-10.27496
-2.881041,-4.212795,-7.4240804,17.532454,3.961256
-5.7479644,4.064114,-3.6539934,16.338207,6.0140586
-4.42849,4.903271,1.7251216,-1.3393127,4.6609774
-19.348948,2.5016325,-4.5771604,0.61918783,-15.215476
-4.293226,5.0337415,-3.6823947,14.689472,8.603943
-4.9535127,0.7536037,-13.816974,2.0409877,-4.7674403
-11.746366,1.7547672,0.64203227,6.7365665,-15.675071
-7.365991,1.5039928,-4.305376,10.718352,-5.408273
-7.414651,1.6981441,-1.4866661,6.7661905,-18.175095
-4.50688,-3.0183134,-11.581788,-5.088457,-14.480204
2.8922813,2.2743392,-8.933171,5.6221094,-12.441666
16.522572,4.082361,-4.8285275,-0.34026322,11.356402
-2.2579463,7.0235815,11.604575,9.133788,-2.4021635
-6.656853,5.7487316,-17.450024,10.440688,-4.933681
-8.888395,0.47600716,5.2768173,18.947977,-16.667154
4.851127,9.283812,1.3505961,-5.356571,-11.283219
-10.606012,3.4277492,4.5548105,7.157747,-18.306683
4.6116853,4.5704036,-7.6514597,10.79535,0.29990193
-2.3997736,10.302816,-11.570311,-5.907781,-7.0882626
-14.60535,8.900533,1.2317768,8.134925,-16.134695
-2.9314618,-10.513358,7.6907425,7.6937804,-9.035976
-5.001906,-9.955719,8.499219,13.711462,-2.7850971
-6.9474835,-8.16331,6.1904283,12.77808,-6.0125413
-6.5269103,-10.613792,7.743023,14.493549,-4.971185
-9.058956,-8.551361,9.120623,13.421658,-6.7154264
-0.8605299,-1.8151456,-13.034086,6.0799394,7.9926395
-1.0885285,0.11855581,-5.9667525,8.445539,5.925029
-4.309118,3.253957,-3.344884,20.61675,-7.426117
-4.916738,1.781255,-6.7146335,22.040253,-7.666521
-1.6893753,2.7072551,-5.825437,21.939114,-7.5088806
-3.864375,3.3344145,-5.517599,22.23013,-4.0015616
-4.925184,8.755044,-0.5917402,18.75348,-9.165402
-2.3927982,10.708686,1.1175506,17.747726,-9.504378
-4.6536865,9.651394,2.7791567,18.637856,-8.487349
-3.5746133,11.527016,0.46258172,19.951824,-6.605741
-2.4211068,6.2480283,-2.6548524,23.080137,-6.8323126
