0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.2922657,5.2693305,-5.227416,-2.1590743,-8.957756,-2.1045952,0.9195519,4.8803926,-2.693765,1.9789529,-1.123656,0.6118277,-0.07915307,-9.29478,-6.840831,0.33181894
3.237101,2.854602,-3.7677016,-2.5130978,-4.5170345,-4.613027,4.392416,11.257281,-0.9158894,3.2436435,-0.4831962,0.22873381,2.0421195,-6.651714,-7.5002947,1.2695912
0.5024228,5.00912,-1.233297,-0.10507797,-0.14099586,-0.47565657,0.29399386,6.1337566,-0.303363,0.824826,-0.26042542,-0.5569399,1.6955777,-2.4310791,-0.29588696,-0.08763469
-0.016145987,-3.1569421,4.451047,-3.534608,-0.21828832,0.35832283,0.6550413,3.6221159,0.6322065,1.767364,-1.1001371,0.38176793,-0.7570909,-0.1709659,-4.0489306,0.27534404
3.44509,2.5244741,-3.4044363,-2.282747,-4.342722,-6.937487,1.9845082,6.383469,-0.9031398,3.8240597,-0.7000576,0.3137118,4.3513293,-6.096772,-8.157679,0.8406975
3.6624463,2.6124496,-3.7707145,-3.2641141,-5.4372234,-5.812364,1.3418474,6.616749,-1.4305968,3.0635645,-0.52291155,0.23660164,2.72068,-10.682536,-8.491553,0.5580845
2.7567124,3.9538915,-4.835436,-2.3723392,-6.0340304,-1.9395974,1.2024502,11.128662,-0.70244354,2.396128,-0.601016,0.23288645,0.8927614,-4.8449416,-6.2159996,0.11617818
1.5221866,4.516262,-6.546361,-1.1373837,-7.5053654,-4.2627993,0.6194563,4.8274336,-0.60777664,1.3056068,-0.126438,0.062716536,0.8069355,-11.155168,-3.084991,0.3120116
0.7558838,3.196266,-11.753779,-0.55691475,1.154811,-1.2961369,0.42419234,1.9130807,-0.21653523,0.91758054,-0.3318503,0.06458894,0.5157014,-0.30413342,-1.738378,0.17794156
0.074732184,2.9369326,-4.444874,-0.5502479,-8.386376,-7.2390413,0.6495852,2.6802328,-0.9393611,1.3651807,0.05675618,0.067340024,0.6517386,-9.452236,-0.936986,0.2732945
1.6577746,-0.37603512,-1.392007,-0.25712782,-4.494175,-1.1413234,0.45255536,1.9389328,-0.2709465,3.1716878,-1.1382364,0.8975557,2.4233139,-0.011306786,-6.6252503,-0.8858043
1.0808476,0.22514442,0.32003555,-3.2351987,0.104267456,-4.8989973,0.5135245,0.38597772,-0.214782,0.7519167,-0.023936687,0.5795425,0.40032703,-4.6652656,-4.128241,-0.32272607
1.7841946,2.8495188,-4.0046015,-1.6150601,-4.0518837,-7.9199715,0.97957504,6.7013597,-0.3743644,1.550481,-0.28206778,0.17433225,3.6606646,-2.8190858,-4.2220354,0.042785417
1.7892606,-0.3409165,0.06265865,-1.3628645,-3.3494468,-6.5045023,1.6669842,10.028851,-0.7574598,2.7271018,-0.18481615,0.09414587,2.9031506,-4.8897095,-3.8338945,0.9562375
1.826998,3.1606715,-3.668714,-2.5038579,-4.9297686,-2.0416617,1.1370335,4.06399,-1.1713526,1.5600289,-0.39505553,0.17768194,6.572625,-3.7602406,-4.790011,0.56144965
2.2725265,-1.5834013,-1.0513893,-1.6593727,-4.186444,-6.137141,1.1702007,5.6062245,0.031238044,2.9896953,-0.23371619,0.11216887,3.070381,-4.359984,-4.574573,0.097467795
1.5362773,2.009786,-2.7172534,-1.4151732,-3.3005886,-5.6655474,0.76058894,5.434059,-3.6685867,3.1224494,0.042206027,-0.054246,-0.068525344,-5.33727,-4.758389,0.26772347
0.9642706,1.4471751,-1.8224449,-1.4240443,-3.35231,-4.0899725,1.4547588,7.079602,-0.6793529,4.1260314,-0.27519965,0.20581183,2.3238266,-4.869346,-4.2754726,2.4379065
1.768686,0.63242686,-0.8899451,-1.5164008,-3.0269327,-5.9011874,2.0996616,8.825555,-0.48410207,6.4596877,-0.28872225,0.14185718,4.3041787,-3.9058132,-4.4204674,0.5087859
