0,1,2,3
22.102026,-3.603499,4.0730386,7.2158093
20.521627,-0.8119983,4.0177965,9.41297
21.517992,-2.2384524,2.5446162,9.345124
-5.358669,15.069412,-14.382113,6.258605
4.748106,9.708584,-11.939086,-16.152472
5.7500834,11.00459,-11.701472,-17.874292
4.9325743,11.874428,-13.140916,-15.422845
-16.808031,18.519043,-6.697314,9.087701
-2.6731033,3.5191798,-7.3443823,17.896494
-8.561898,1.5309186,-6.439195,15.452612
13.725441,3.7530527,3.5037544,17.09386
-1.8774154,5.2797847,-7.0828123,16.389212
-4.9143877,5.009917,-7.003341,16.440771
-4.0481176,3.4447901,-7.917717,14.837838
8.871396,16.239227,0.7273214,-13.368472
-3.3517466,13.0292635,-16.18586,5.849249
12.416282,7.391489,0.11516629,-22.551283
13.609797,6.139679,-0.09255872,-21.43997
-5.0706744,-3.7892134,15.609104,3.0691006
2.1551588,27.781845,-8.738385,12.103763
11.536092,5.798137,2.420468,8.687905
5.7855773,25.226452,-5.928404,11.502515
-10.464345,21.232328,12.733456,9.784498
-1.9569964,26.041237,5.9113817,-10.705317
-8.679158,14.729778,-10.468526,4.6789494
-1.3592104,-9.058228,4.6357102,-18.662645
-0.26536715,-9.02379,1.8008995,-17.395752
-1.0415751,-6.5267353,2.6868684,-19.487057
1.4293133,-8.57723,2.7166607,-19.87222
-2.58053,-5.3230457,-0.5994996,-17.720741
-3.3753123,-5.4833255,1.2884744,-16.527954
-7.9474607,-22.298763,-10.976364,0.67656296
-6.24069,-31.358496,0.65616757,0.16366033
16.968847,-6.909884,-6.979184,8.610611
-8.373922,-23.67556,-9.734486,0.5805328
17.284662,-4.4290943,-6.60797,7.6195283
-12.183334,-10.212771,9.839895,-6.0971913
-20.282528,15.933646,-4.810725,0.020690044
19.530617,1.1946622,15.054955,4.511998
-7.796574,-3.4941854,-3.1956542,9.796682
-12.541471,22.608484,-8.405279,8.553556
-4.706689,17.702057,-19.102049,-8.039441
-5.4187326,20.723385,-17.644,-9.297652
-2.3859446,4.539749,-0.20565516,-21.930489
-17.204319,-3.5070581,-1.5963844,-10.356449
-13.681381,17.592459,-4.1581955,5.953502
-11.351074,18.838696,-4.9626174,7.5671973
-9.160578,25.373272,-8.180044,8.772726
-8.798699,21.387022,-7.408102,5.6156616
-11.101639,24.185324,0.3918483,4.3900595
-3.772962,12.661526,8.063464,15.134895
4.8022,7.897768,-5.0980487,-4.641689
-0.7093812,3.563539,-6.229583,-4.9031615
4.080142,8.224656,-2.4245796,-4.1108384
18.30055,-0.48893252,-5.597693,4.874439
-10.97709,24.43272,-5.977688,-7.164278
-2.4660828,31.451048,-0.07115063,6.790416
-8.030119,27.780596,1.0843679,7.944288
-14.3726635,13.597731,-3.096825,10.204113
5.5946255,15.379481,3.8383057,13.751127
-2.496449,12.44135,-1.3571572,9.291305
4.0738945,13.732096,-9.714529,-9.953705
5.4030437,1.4935385,-12.905242,-4.850326
-0.6477225,4.0252275,-11.597123,-10.511037
-10.125631,-4.8312387,-1.8823075,2.8137476
-5.742487,24.63545,10.612669,9.251134
-1.062833,3.1578677,-9.755327,-8.894991
-3.1815116,-1.1411333,-19.657679,6.6554646
-11.086631,15.863023,-5.0095315,6.2549915
-5.682419,10.70278,-10.695951,0.68224543
-13.921264,18.799397,-8.237353,7.043769
9.782831,17.444231,3.5324416,13.585782
20.540695,12.7852545,6.504144,8.37184
13.684735,-15.254259,-5.284694,2.5754068
-6.57178,-5.392699,10.417348,13.450375
1.514082,9.552393,-22.55882,8.039793
-14.338147,26.674948,-7.4933105,-6.0838537
12.167166,7.626971,1.9855994,16.159472
-10.654569,18.750698,-3.5491924,8.629708
-0.5450274,-2.8602622,-7.7239428,9.092405
-19.031305,-2.1257882,-6.1852813,10.482847
-15.889418,25.632347,-2.8754094,10.251731
5.923743,15.651015,0.9191497,-13.555536
-1.4370354,15.167516,3.721739,-16.684525
-2.4634297,17.99232,1.5532804,-14.9010725
-1.8934642,17.0528,3.070948,-16.800043
-3.8403172,19.468216,3.2654042,-16.069307
-10.475585,-1.5791382,-12.554485,-0.32178506
-0.83098394,-2.4196668,-7.3197913,0.54966736
-1.8337611,18.538916,-18.564758,-6.0367417
0.06955465,16.627548,-19.547222,-4.815261
0.37148583,17.42768,-19.681273,-7.247183
0.91525215,19.884073,-20.079714,-5.158504
-7.972212,18.76966,-19.049643,-4.6496296
-10.572828,17.551973,-19.135637,-4.354184
