0,1,2,3,4,5,6
8.295472,-0.3271203,13.267286,0.523902,-3.9676826,-1.2409006,11.514069
0.9963216,-2.873385,15.427476,3.2038867,-1.1028311,-4.6645494,-5.6201673
-4.5855308,-2.212168,2.299113,-3.7034187,3.6423779,-7.38803,0.11496566
7.191379,-2.365499,0.49058965,-0.047055665,2.1987972,8.726805,-3.2640836
6.38743,-4.6082287,1.7656544,5.9647365,0.81798583,11.472875,2.873557
-2.3803074,-2.4054427,-2.149456,-3.7914891,2.6147923,-2.0161707,9.983268
4.97473,-1.370181,4.798053,3.6148167,5.052877,1.4203546,3.6373022
1.7813531,3.5933907,2.9811618,-8.477198,4.1136346,0.9527281,-3.0043406
2.9514918,5.4166746,1.7475139,-18.3001,-0.9723191,-2.4368014,-0.7151371
2.5113401,-5.6990294,-2.8020508,-9.323959,-2.2996187,0.21537754,6.4543333
2.4161618,0.06966181,0.7172981,8.952396,4.390793,7.9081078,5.047042
4.3735466,-2.400617,-5.7770085,2.576328,-0.98088837,7.721044,11.5185375
7.6713953,-0.27165756,-8.242935,1.283946,-0.29911968,5.961902,9.592575
4.7030244,-1.5356771,-5.3033614,4.8572297,-1.5529625,5.129078,13.134563
-4.1597295,3.4066308,2.5378265,-9.8078575,-4.041384,8.145704,-1.5394019
0.9886535,-5.2626367,7.8974495,4.7916207,-1.6536047,0.30287597,15.247251
9.516976,-6.848322,0.36898467,4.1803226,-1.4606718,-0.096451946,6.1860895
6.216093,-4.3996744,13.781071,-4.2114954,-3.6005037,-3.3939707,4.8700695
7.2876167,0.54792696,6.5478334,-7.863502,-1.1135668,4.067285,14.797893
8.085664,-0.6755683,13.048669,-13.592013,-1.0677569,-2.3218348,6.67857
2.5515423,-3.1105652,1.951369,1.611492,2.0929046,6.3851104,-4.490793
4.8331904,2.8441188,5.22726,11.696902,0.5023036,4.547882,4.7657557
3.2672338,-1.1101378,7.197192,-13.5110445,-4.5671334,5.528771,7.975602
6.659518,-3.0230339,-8.02384,-5.113212,0.5385908,-3.7127705,-2.4607646
4.807745,1.6114323,0.7701003,1.1476399,3.7883334,6.487393,-0.37906504
-6.3639307,3.1967328,-4.263058,-13.167273,-0.050066985,0.61970747,3.5675502
6.74692,5.3235917,4.188309,-12.619216,-0.7981891,1.0223113,0.8158081
8.256915,1.2359917,6.3920765,-13.41493,1.1085496,2.2284884,0.73717713
9.273023,1.6608328,3.1544213,-11.142216,1.379436,0.6277214,2.1561396
11.202326,4.440758,3.6969345,-9.17213,0.36639026,2.5746157,1.6292038
0.86958414,-5.831666,3.5316198,10.103202,-0.43019822,-7.5954113,2.1777349
2.014166,-0.80557644,4.574125,9.658746,3.0985076,-6.9672465,1.7420975
3.916378,-2.8190506,4.1037455,9.394867,-0.6166223,-7.1969953,2.1185288
0.36458465,-1.7489811,4.567465,9.817258,-2.0534768,-8.543061,1.5851383
-0.6289095,-1.6872568,0.4331108,5.136996,0.9157263,13.618749,1.3628333
10.120174,1.4191504,12.780104,0.84846926,-1.2091464,3.772478,2.178786
12.597864,2.0482664,11.833361,-1.4988514,-2.3841596,1.9294331,-0.979102
1.7176775,2.9474404,8.899288,-3.8176157,6.5742307,6.069251,2.4293606
9.754112,5.3523064,7.775917,-2.4350176,-0.033052444,-0.159024,9.353127
-8.77687,0.5979219,-19.95128,7.4675436,-1.1808873,-1.4456936,-5.147378
-5.533136,2.993833,-3.356186,-11.065605,6.2664857,-0.46146014,3.904471
11.466327,1.2161742,0.8793523,4.6412144,-1.0513153,-7.864832,-0.7181353
8.747283,-2.9146438,12.7599745,-9.885228,-4.378901,-2.230678,2.5081978
-2.2700696,-0.06160055,-13.334641,-3.7589061,-1.7782881,-0.15653309,-5.7049136
-0.7728842,0.18998952,4.759759,-14.044536,0.760673,-5.7358165,-5.9588814
3.5235295,6.4557137,4.560065,-6.137874,3.618726,-1.3994654,-4.5771537
-2.560439,0.16492179,0.31976035,-5.858487,1.3707265,12.984923,1.678053
7.0236635,-1.3014609,18.903137,-8.00587,2.3439753,5.5219746,9.27689
-4.118088,-0.74788386,1.9097103,0.5946488,2.002749,11.313485,-0.14003584
4.877328,-3.760587,2.3992941,-6.398392,-3.5518467,2.3691962,10.139215
3.1867301,1.2647463,9.911912,1.0580763,-0.18865772,8.458364,-0.26244223
-7.3445954,5.2268977,-0.69281024,-13.310115,0.42357123,-3.0456946,2.0874443
2.3965266,5.2387924,11.603218,-1.7810612,2.2707,3.347768,4.593134
2.8259194,5.677841,9.338874,-3.2670746,3.104985,6.2211227,3.9894938
4.8153033,2.7468305,12.8643875,0.43622148,0.44037467,0.91705245,4.528923
5.401755,-1.9572469,11.696624,-0.657465,-3.741351,2.295893,9.532186
3.4247847,-5.5769544,5.4205866,-0.7630665,-6.858657,0.56632996,5.559504
11.294114,-1.0890536,9.455425,4.883273,-6.54871,2.0780666,-1.9307282
2.0183473,-7.7316394,9.698404,-3.078308,-0.45994574,-1.3078008,2.1463344
10.453123,-5.4595613,-1.0878952,-7.507745,0.6006989,-0.5928254,7.673243
-10.264397,1.1965681,-10.957223,-2.8681924,-1.7723445,0.9761369,0.8810033
8.047631,0.48206532,8.25808,7.261315,3.458023,-1.701769,7.1387763
9.946896,0.57096344,7.9617844,9.843043,0.49122843,-0.8623276,7.8010883
9.094341,3.9333677,9.026801,9.438587,2.1749187,-0.80502605,6.231563
-7.042675,6.225649,-5.3798604,6.868307,-0.7185443,0.61191106,0.37286118
-1.1084452,5.022172,-8.703977,12.503859,-2.0730894,-4.226107,4.95969
-1.3819942,5.598037,-10.588899,12.427553,0.010578182,-0.5739437,3.2372868
-6.3026285,0.51819414,5.3177633,0.52886224,5.3118067,-1.8162905,9.569557
-2.5666978,-1.708787,5.495405,0.8821876,-5.6676135,-5.0082355,8.154855
7.0127454,-1.5777547,9.634335,3.7722862,-6.0186224,-3.4789133,-9.375773
6.1546717,-3.4991324,11.495149,2.3786612,-5.759485,-2.47789,-6.8333807
