0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.32063234,0.320623,-1.3242021,-4.468587,-2.3500886,1.8288461,1.1407348,2.0074985,3.0670109,0.827472,2.2241795,-0.2589821,1.169105,-0.02505108,1.28876,-0.3893793,3.7208257,-0.53928643,5.9347377,1.5451431
0.24550991,0.7588087,-1.6378598,-1.8901639,-3.371505,2.1196883,2.3484018,1.9976721,1.7966866,1.40758,5.32212,-2.7492268,1.7187606,-0.065651335,1.1521719,-0.82448214,-1.1744679,-0.72449714,7.3799305,3.212283
0.17741574,-0.5265862,-0.8585251,-7.866903,-2.36521,1.6782786,1.0197825,1.396284,2.8664842,1.357814,2.3217525,2.1480513,0.85129845,-0.029143956,1.2265986,-0.55772203,1.9000247,-0.6134299,5.6967096,1.3450414
0.23606431,0.5787534,-1.1387728,-0.022483211,3.2470765,2.6550133,3.6075583,-1.1431006,3.267084,1.1714705,8.837697,-2.2309957,0.18850887,-0.10650217,0.99080455,-0.09575453,3.1877108,-1.2578992,-0.053062562,5.6115913
1.6889014,1.273821,2.7917175,-0.45587894,-0.6301247,0.6230323,-0.22854228,0.11821279,2.0836778,2.2858133,0.80082405,0.2683138,-0.07897111,-0.0031315887,0.16346337,-0.85081,2.3155444,-0.86201113,1.1221844,1.1526337
0.07517322,0.80227184,-1.2281226,4.203044,-0.8176611,2.2451901,2.428366,0.26356506,2.201067,1.1252763,5.8149743,-1.9041686,0.38358152,-0.06980915,0.8615832,-0.16429651,-2.7354424,-1.1661811,0.6550363,4.7858686
0.36236936,-0.40323052,-0.16882941,4.487705,2.3224022,2.5817554,1.0091635,0.19738144,3.7416656,0.6008002,2.5943367,-1.3598883,-0.34890348,-0.03368783,1.098368,-0.021739444,0.17942335,-0.6587862,0.2269587,-0.23091829
0.14755052,0.26439545,-0.48816633,0.8710387,0.045240328,1.9630239,1.787392,0.22927448,1.3138541,1.2575939,3.6560001,-2.7291994,-0.52546984,-0.052410427,2.0953362,0.044777576,1.0373182,-0.09203044,-3.1356807,4.7970705
-0.5609105,-3.606841,-0.8095189,-0.19812176,-2.259041,2.6861184,1.5392562,2.308287,2.6865435,1.4247363,4.255027,0.9992709,0.5148584,-0.04968173,1.2322438,-0.6052472,0.9574268,-0.7382093,2.4823046,1.6582953
0.80171317,0.5470773,-0.7786277,3.9010227,0.07595546,0.56905895,0.93270105,0.28931117,0.8969464,-0.25207707,-0.35803452,-3.9672523,-0.121051446,0.013771498,0.6442111,0.05317434,-1.7083495,-0.39819422,-1.6652621,1.7343096
