0,1,2,3,4,5,6,7,8,9,10,11
-1.6135608,5.397446,6.9234076,13.076924,-0.5694827,1.5530059,-7.4660997,0.43214887,0.0071611325,0.8273707,5.2171793,-1.6598693
-0.6401672,-0.10964636,4.3402705,2.3988535,-3.956157,5.564774,-5.7890162,-0.7554439,0.027605299,-0.85168636,1.0234935,-0.030401656
-1.0993313,2.4847338,3.7731154,14.776416,-0.009264861,-1.230955,-4.5230336,0.5230694,0.0979596,-1.1259749,7.119933,-2.4231112
-5.759592,3.0247135,2.019221,6.271447,-0.34080482,4.207527,3.8024745,2.374662,0.028835982,-0.35276544,2.604985,2.1001387
-5.3340716,0.252725,0.9543711,0.34647635,-1.223675,-0.8763948,1.0581434,2.0719714,-0.30811495,0.148154,0.51958936,-6.3678255
-4.3907013,7.3170853,4.170536,6.7648263,-1.5045873,1.8222939,-2.4208162,0.1689714,0.098817624,-1.1341527,4.7098894,-9.362377
-4.477241,6.151507,3.9004242,7.402903,-0.7183822,2.7329795,1.6646175,3.6120179,0.17887336,-1.578315,3.6774714,-6.1457667
-5.8225183,6.12799,5.6219907,5.283949,-1.1423374,2.3445907,-3.4452636,1.8571619,-0.21407668,-1.8830727,4.668543,-5.190398
-4.219496,3.1633222,2.766823,8.308419,0.24368048,4.9843674,-0.4110702,1.3355093,-0.013340795,-3.453939,3.1041164,-5.528909
-5.292829,4.193561,1.8294843,7.0088286,-1.6097764,2.506891,-1.6054399,1.3445121,-0.0839259,-1.3511924,7.052066,-6.527291
-6.2129483,5.0905614,3.1762016,7.0073028,2.3710783,3.6033385,-0.53035796,0.7215237,-0.012816887,0.23941939,3.7028658,-6.7220764
-5.4373884,4.2471333,2.1743355,6.786572,-0.57655525,4.4319654,0.32937738,4.0495596,-0.12819457,1.7892488,2.997493,-6.0359383
0.7722976,3.3193088,-4.2510524,0.5655094,-1.0944998,-2.1249433,-3.4758255,1.0405777,0.41583273,-1.0123695,2.2926967,-2.4539988
-0.04759918,1.4950005,-2.6532207,0.8713312,1.0750109,-2.2010908,-1.2306325,3.2281392,0.232432,1.0881855,-0.33022326,-2.0870867
